league,team,player,matches,assists,xAG,minutes,position,assists_minus_xag,assists_minus_xag_90
ENG-Premier League,Arsenal,Aaron Ramsey,52,14,7.4,3177,MF,6.6,0.18696883852691215
ENG-Premier League,Arsenal,Ainsley Maitland-Niles,70,3,3.7,4045,"DF,MF",-0.7000000000000002,-0.015574783683559953
ENG-Premier League,Arsenal,Albert Sambi Lokonga,25,0,1.0,1332,MF,-1.0,-0.06756756756756757
ENG-Premier League,Arsenal,Alex Iwobi,61,11,10.5,3800,"MF,FW",0.5,0.011842105263157895
ENG-Premier League,Arsenal,Alexandre Lacazette,158,25,16.2,10283,FW,8.8,0.07702032480793543
ENG-Premier League,Arsenal,Alexis Sánchez,19,3,4.9,1503,"MF,FW",-1.9000000000000004,-0.11377245508982038
ENG-Premier League,Arsenal,Ben White,124,11,9.7,10121,DF,1.3000000000000007,0.011560122517537798
ENG-Premier League,Arsenal,Bukayo Saka,195,45,41.8,15121,FW,3.200000000000003,0.019046359367766698
ENG-Premier League,Arsenal,Calum Chambers,38,3,2.9000000000000004,2891,DF,0.09999999999999964,0.003113109650639906
ENG-Premier League,Arsenal,Cédric Soares,41,2,2.5,2572,"MF,DF",-0.5,-0.017496111975116642
ENG-Premier League,Arsenal,Dani Ceballos,49,5,4.4,3307,MF,0.5999999999999996,0.016328999092833373
ENG-Premier League,Arsenal,Danny Welbeck,36,3,1.7,1347,"FW,MF",1.3,0.08685968819599109
ENG-Premier League,Arsenal,David Luiz,53,1,1.4,4205,DF,-0.3999999999999999,-0.008561236623067774
ENG-Premier League,Arsenal,Declan Rice,73,15,11.899999999999999,6050,MF,3.1000000000000014,0.04611570247933886
ENG-Premier League,Arsenal,Eddie Nketiah,116,6,5.2,4149,FW,0.7999999999999998,0.017353579175704986
ENG-Premier League,Arsenal,Emile Smith Rowe,80,9,6.3,3983,MF,2.7,0.06100928948029124
ENG-Premier League,Arsenal,Ethan Nwaneri,28,2,1.2,910,FW,0.8,0.07912087912087912
ENG-Premier League,Arsenal,Fabio Vieira,33,4,4.1,811,"MF,FW",-0.09999999999999964,-0.011097410604192316
ENG-Premier League,Arsenal,Gabriel Jesus,70,11,8.4,4150,FW,2.5999999999999996,0.05638554216867469
ENG-Premier League,Arsenal,Gabriel Magalhães,160,1,2.6999999999999997,13875,DF,-1.6999999999999997,-0.011027027027027025
ENG-Premier League,Arsenal,Gabriel Martinelli,161,20,26.4,10210,FW,-6.399999999999999,-0.056415279138099884
ENG-Premier League,Arsenal,Granit Xhaka,193,22,16.8,16186,MF,5.199999999999999,0.02891387618929939
ENG-Premier League,Arsenal,Henrikh Mkhitaryan,39,8,9.3,2547,"FW,MF",-1.3000000000000007,-0.045936395759717336
ENG-Premier League,Arsenal,Héctor Bellerín,94,10,8.9,7831,DF,1.0999999999999996,0.0126420635934108
ENG-Premier League,Arsenal,Jack Wilshere,20,3,2.6,1193,MF,0.3999999999999999,0.030176026823134947
ENG-Premier League,Arsenal,Jakub Kiwior,44,3,1.2,2495,DF,1.8,0.06492985971943888
ENG-Premier League,Arsenal,Joe Willock,40,1,1.2000000000000002,1241,MF,-0.20000000000000018,-0.014504431909750214
ENG-Premier League,Arsenal,Jorginho,53,3,2.0,2480,MF,1.0,0.036290322580645164
ENG-Premier League,Arsenal,Jurriën Timber,32,3,0.8,2488,DF,2.2,0.07958199356913184
ENG-Premier League,Arsenal,Kai Havertz,60,10,6.800000000000001,4509,"MF,FW",3.1999999999999993,0.06387225548902194
ENG-Premier League,Arsenal,Kieran Tierney,104,8,8.0,6257,"DF,MF",0.0,0.0
ENG-Premier League,Arsenal,Laurent Koscielny,42,0,0.6000000000000001,3556,DF,-0.6000000000000001,-0.015185601799775031
ENG-Premier League,Arsenal,Leandro Trossard,92,18,13.6,5126,FW,4.4,0.07725321888412018
ENG-Premier League,Arsenal,Lucas Torreira,63,3,2.0,3894,MF,1.0,0.023112480739599383
ENG-Premier League,Arsenal,Martin Ødegaard,152,31,31.4,12194,MF,-0.3999999999999986,-0.0029522716089880165
ENG-Premier League,Arsenal,Mattéo Guendouzi,57,1,2.9000000000000004,3897,MF,-1.9000000000000004,-0.043879907621247126
ENG-Premier League,Arsenal,Mesut Özil,68,12,15.099999999999998,5336,"MF,FW",-3.099999999999998,-0.052286356821589164
ENG-Premier League,Arsenal,Mikel Merino,28,2,2.0,1586,"MF,FW",0.0,0.0
ENG-Premier League,Arsenal,Mohamed Elneny,66,3,1.7000000000000002,3738,MF,1.2999999999999998,0.031300160513643656
ENG-Premier League,Arsenal,Myles Lewis-Skelly,23,0,0.4,1369,DF,-0.4,-0.02629656683710738
ENG-Premier League,Arsenal,Nacho Monreal,53,5,4.6,4374,DF,0.40000000000000036,0.008230452674897127
ENG-Premier League,Arsenal,Nicolas Pépé,80,9,7.5,4322,FW,1.5,0.03123553910226747
ENG-Premier League,Arsenal,Nuno Tavares,22,1,1.1,1176,DF,-0.10000000000000009,-0.007653061224489803
ENG-Premier League,Arsenal,Oleksandr Zinchenko,69,5,4.1,4367,DF,0.9000000000000004,0.018548202427295636
ENG-Premier League,Arsenal,Pablo Marí,14,0,0.4,1193,DF,-0.4,-0.030176026823134958
ENG-Premier League,Arsenal,Pierre-Emerick Aubameyang,128,16,12.0,10288,FW,4.0,0.034992223950233284
ENG-Premier League,Arsenal,Raheem Sterling,17,2,0.5,499,"FW,MF",1.5,0.27054108216432865
ENG-Premier League,Arsenal,Reiss Nelson,50,2,2.4,1350,"FW,MF",-0.3999999999999999,-0.02666666666666666
ENG-Premier League,Arsenal,Riccardo Calafiori,19,1,0.3,983,DF,0.7,0.06408952187182096
ENG-Premier League,Arsenal,Rob Holding,89,1,0.4,6179,DF,0.6,0.008739278200356044
ENG-Premier League,Arsenal,Sead Kolašinac,80,11,10.8,5916,DF,0.1999999999999993,0.0030425963488843705
ENG-Premier League,Arsenal,Shkodran Mustafi,76,2,2.3,6138,DF,-0.2999999999999998,-0.004398826979472139
ENG-Premier League,Arsenal,Sokratis Papastathopoulos,44,2,1.0,3894,DF,1.0,0.023112480739599383
ENG-Premier League,Arsenal,Stephan Lichtsteiner,14,0,0.1,938,DF,-0.1,-0.009594882729211088
ENG-Premier League,Arsenal,Takehiro Tomiyasu,65,3,2.0,3498,DF,1.0,0.025728987993138937
ENG-Premier League,Arsenal,Thomas Partey,130,5,5.9,9630,MF,-0.9000000000000004,-0.008411214953271032
ENG-Premier League,Arsenal,William Saliba,100,2,2.3,8874,DF,-0.2999999999999998,-0.0030425963488843796
ENG-Premier League,Arsenal,Willian,25,5,3.0,1406,FW,2.0,0.12802275960170698
ENG-Premier League,Aston Villa,Ahmed Elmohamady,32,1,3.8,1870,DF,-2.8,-0.13475935828877006
ENG-Premier League,Aston Villa,Amadou Onana,26,0,0.7,1617,MF,-0.7,-0.03896103896103896
ENG-Premier League,Aston Villa,Anwar El Ghazi,71,5,4.9,4050,"FW,MF",0.09999999999999964,0.0022222222222222144
ENG-Premier League,Aston Villa,Ashley Young,53,2,2.0,3286,"DF,FW",0.0,0.0
ENG-Premier League,Aston Villa,Axel Disasi,7,0,0.4,490,DF,-0.4,-0.07346938775510205
ENG-Premier League,Aston Villa,Bertrand Traoré,55,6,4.3999999999999995,2781,FW,1.6000000000000005,0.05177993527508092
ENG-Premier League,Aston Villa,Björn Engels,17,0,0.3,1447,DF,-0.3,-0.018659295093296474
ENG-Premier League,Aston Villa,Boubacar Kamara,70,2,3.0,5155,MF,-1.0,-0.01745877788554801
ENG-Premier League,Aston Villa,Calum Chambers,30,1,0.5,1336,DF,0.5,0.033682634730538924
ENG-Premier League,Aston Villa,Clément Lenglet,14,1,0.8,1153,DF,0.19999999999999996,0.015611448395490023
ENG-Premier League,Aston Villa,Conor Hourihane,31,6,6.6,1759,MF,-0.5999999999999996,-0.030699260943718006
ENG-Premier League,Aston Villa,Danny Ings,48,6,2.8,2722,FW,3.2,0.10580455547391623
ENG-Premier League,Aston Villa,Diego Carlos,40,0,0.1,2851,DF,-0.1,-0.003156787092248334
ENG-Premier League,Aston Villa,Douglas Luiz,175,18,15.600000000000001,14028,MF,2.3999999999999986,0.015397775876817784
ENG-Premier League,Aston Villa,Emi Buendía,85,8,11.5,4409,"MF,FW",-3.5,-0.07144477205715583
ENG-Premier League,Aston Villa,Emiliano Martínez,181,0,0.8999999999999999,16008,GK,-0.8999999999999999,-0.005059970014992503
ENG-Premier League,Aston Villa,Ezri Konsa,197,2,3.6,17039,DF,-1.6,-0.00845120018780445
ENG-Premier League,Aston Villa,Frederic Guilbert,25,2,1.5,2041,"DF,MF",0.5,0.022048015678588925
ENG-Premier League,Aston Villa,Ian Maatsen,29,2,2.7,1139,DF,-0.7000000000000002,-0.05531167690956981
ENG-Premier League,Aston Villa,Jack Grealish,62,16,14.8,5418,"FW,MF",1.1999999999999993,0.019933554817275736
ENG-Premier League,Aston Villa,Jacob Ramsey,136,12,10.599999999999998,8205,MF,1.4000000000000021,0.015356489945155417
ENG-Premier League,Aston Villa,John McGinn,203,23,22.1,16647,MF,0.8999999999999986,0.004865741575058561
ENG-Premier League,Aston Villa,Jáder Durán,55,0,0.5,1249,"FW,MF",-0.5,-0.036028823058446756
ENG-Premier League,Aston Villa,Keinan Davis,34,1,0.7999999999999999,837,FW,0.20000000000000007,0.021505376344086027
ENG-Premier League,Aston Villa,Kortney Hause,32,0,0.5,2572,DF,-0.5,-0.017496111975116642
ENG-Premier League,Aston Villa,Lamare Bogarde,8,0,0.1,476,"DF,MF",-0.1,-0.018907563025210086
ENG-Premier League,Aston Villa,Leander Dendoncker,28,0,0.5,816,MF,-0.5,-0.05514705882352941
ENG-Premier League,Aston Villa,Leon Bailey,110,17,16.299999999999997,5935,"FW,MF",0.7000000000000028,0.010614995787700128
ENG-Premier League,Aston Villa,Lucas Digne,109,11,12.899999999999999,7532,DF,-1.8999999999999986,-0.022703133297928817
ENG-Premier League,Aston Villa,Marco Asensio,13,1,1.0,743,MF,0.0,0.0
ENG-Premier League,Aston Villa,Marvelous Nakamba,58,0,0.6,3489,MF,-0.6,-0.015477214101461736
ENG-Premier League,Aston Villa,Matt Targett,83,5,6.8,7126,"DF,MF",-1.7999999999999998,-0.02273365141734493
ENG-Premier League,Aston Villa,Matty Cash,148,9,8.6,11781,DF,0.40000000000000036,0.003055767761650117
ENG-Premier League,Aston Villa,Mbwana Samatta,14,0,0.6,943,FW,-0.6,-0.05726405090137858
ENG-Premier League,Aston Villa,Morgan Rogers,48,11,8.4,3752,"MF,FW",2.5999999999999996,0.06236673773987206
ENG-Premier League,Aston Villa,Morgan Sanson,21,0,0.1,661,MF,-0.1,-0.013615733736762482
ENG-Premier League,Aston Villa,Moussa Diaby,38,8,6.6,2174,"FW,MF",1.4000000000000004,0.057957681692732306
ENG-Premier League,Aston Villa,Neil Taylor,15,0,0.4,1107,DF,-0.4,-0.032520325203252036
ENG-Premier League,Aston Villa,Nicolò Zaniolo,25,0,1.0,839,"FW,MF",-1.0,-0.10727056019070322
ENG-Premier League,Aston Villa,Ollie Watkins,184,34,23.099999999999998,15222,FW,10.900000000000002,0.06444619629483643
ENG-Premier League,Aston Villa,Pau Torres,53,0,0.5,4484,DF,-0.5,-0.010035682426404995
ENG-Premier League,Aston Villa,Philippe Coutinho,41,3,3.4,2142,"MF,FW",-0.3999999999999999,-0.016806722689075626
ENG-Premier League,Aston Villa,Ross Barkley,44,2,4.8,2112,MF,-2.8,-0.11931818181818181
ENG-Premier League,Aston Villa,Trézéguet,56,2,3.1,3127,"FW,MF",-1.1,-0.03165973776782859
ENG-Premier League,Aston Villa,Tyrone Mings,155,9,4.3,13585,DF,4.7,0.031137283768862718
ENG-Premier League,Aston Villa,Wesley Moraes,25,1,1.0,1801,FW,0.0,0.0
ENG-Premier League,Aston Villa,Youri Tielemans,68,13,9.6,4648,"MF,FW",3.4000000000000004,0.06583476764199656
ENG-Premier League,Aston Villa,Álex Moreno,40,3,4.1,2360,DF,-1.0999999999999996,-0.04194915254237287
ENG-Premier League,Bournemouth,Aaron Ramsdale,37,1,0.7,3330,GK,0.30000000000000004,0.00810810810810811
ENG-Premier League,Bournemouth,Adam Smith,166,8,6.300000000000001,12875,"DF,MF",1.6999999999999993,0.011883495145631064
ENG-Premier League,Bournemouth,Alex Scott,43,1,2.6,1769,MF,-1.6,-0.08140192198982477
ENG-Premier League,Bournemouth,Andrew Surman,48,5,1.4,3530,MF,3.6,0.09178470254957508
ENG-Premier League,Bournemouth,Antoine Semenyo,81,7,9.1,5566,"FW,MF",-2.0999999999999996,-0.033956162414660436
ENG-Premier League,Bournemouth,Arnaut Danjuma,14,0,0.2,630,MF,-0.2,-0.02857142857142857
ENG-Premier League,Bournemouth,Benik Afobe,17,0,0.1,611,FW,-0.1,-0.014729950900163668
ENG-Premier League,Bournemouth,Callum Wilson,93,12,9.7,7417,FW,2.3000000000000007,0.027908858028852644
ENG-Premier League,Bournemouth,Charlie Daniels,58,3,2.9000000000000004,4713,"DF,MF",0.09999999999999964,0.0019096117122851617
ENG-Premier League,Bournemouth,Chris Mepham,61,2,1.2000000000000002,4578,DF,0.7999999999999998,0.01572739187418086
ENG-Premier League,Bournemouth,Dan Gosling,77,3,3.5,4950,MF,-0.5,-0.00909090909090909
ENG-Premier League,Bournemouth,Dango Ouattara,81,9,9.5,4475,"MF,FW",-0.5,-0.01005586592178771
ENG-Premier League,Bournemouth,David Brooks,87,6,8.4,4182,"MF,FW",-2.4000000000000004,-0.05164992826398853
ENG-Premier League,Bournemouth,Dean Huijsen,32,2,2.0,2427,DF,0.0,0.0
ENG-Premier League,Bournemouth,Diego Rico,39,4,4.300000000000001,2944,"DF,MF",-0.3000000000000007,-0.009171195652173935
ENG-Premier League,Bournemouth,Dominic Solanke,113,12,8.5,8183,"FW,MF",3.5,0.03849443969204448
ENG-Premier League,Bournemouth,Enes Ünal,33,3,1.4,673,"FW,MF",1.6,0.21396731054977713
ENG-Premier League,Bournemouth,Evanilson,31,1,1.9,2319,FW,-0.8999999999999999,-0.03492884864165589
ENG-Premier League,Bournemouth,Hamed Junior Traorè,10,0,1.1,474,"FW,MF",-1.1,-0.20886075949367092
ENG-Premier League,Bournemouth,Harry Arter,13,0,0.2,960,MF,-0.2,-0.018750000000000003
ENG-Premier League,Bournemouth,Harry Wilson,31,0,2.4,1646,"MF,FW",-2.4,-0.1312272174969623
ENG-Premier League,Bournemouth,Illia Zabarnyi,78,1,1.1,6738,DF,-0.10000000000000009,-0.0013357079252003573
ENG-Premier League,Bournemouth,Jack Simpson,11,0,0.1,715,DF,-0.1,-0.012587412587412587
ENG-Premier League,Bournemouth,Jack Stacey,29,2,2.2,1848,DF,-0.20000000000000018,-0.009740259740259749
ENG-Premier League,Bournemouth,Jack Stephens,15,0,0.2,1173,DF,-0.2,-0.01534526854219949
ENG-Premier League,Bournemouth,Jaidon Anthony,33,1,1.0,1409,"MF,FW",0.0,0.0
ENG-Premier League,Bournemouth,James Hill,15,1,0.3,524,DF,0.7,0.12022900763358779
ENG-Premier League,Bournemouth,Jefferson Lerma,100,2,4.8,8461,MF,-2.8,-0.029783713509041482
ENG-Premier League,Bournemouth,Jermain Defoe,28,1,1.1,1113,FW,-0.10000000000000009,-0.008086253369272245
ENG-Premier League,Bournemouth,Joe Rothwell,31,1,1.2,1402,MF,-0.19999999999999996,-0.012838801711840226
ENG-Premier League,Bournemouth,Jordan Zemura,19,1,1.9,1454,DF,-0.8999999999999999,-0.05570839064649243
ENG-Premier League,Bournemouth,Jordon Ibe,53,7,3.9,2842,"MF,FW",3.1,0.09817030260380014
ENG-Premier League,Bournemouth,Joshua King,94,10,12.8,7425,"FW,MF",-2.8000000000000007,-0.03393939393939395
ENG-Premier League,Bournemouth,Julian Araujo,12,0,0.1,497,DF,-0.1,-0.018108651911468814
ENG-Premier League,Bournemouth,Junior Stanislas,61,5,4.8,3090,"MF,FW",0.20000000000000018,0.005825242718446607
ENG-Premier League,Bournemouth,Justin Kluivert,66,7,6.699999999999999,4256,"MF,FW",0.3000000000000007,0.00634398496240603
ENG-Premier League,Bournemouth,Kieffer Moore,35,0,0.5,1387,FW,-0.5,-0.032444124008651765
ENG-Premier League,Bournemouth,Lewis Cook,166,10,13.1,11796,MF,-3.0999999999999996,-0.02365208545269583
ENG-Premier League,Bournemouth,Lloyd Kelly,54,3,2.0,4238,DF,1.0,0.021236432279377066
ENG-Premier League,Bournemouth,Luis Sinisterra,32,3,3.8,935,"FW,MF",-0.7999999999999998,-0.07700534759358288
ENG-Premier League,Bournemouth,Lys Mousset,47,0,1.1,964,"FW,MF",-1.1,-0.10269709543568466
ENG-Premier League,Bournemouth,Marc Pugh,20,0,0.5,985,"MF,FW",-0.5,-0.045685279187817264
ENG-Premier League,Bournemouth,Marcos Senesi,79,5,2.4,5839,DF,2.6,0.040075355369070045
ENG-Premier League,Bournemouth,Marcus Tavernier,82,13,12.100000000000001,5800,"MF,FW",0.8999999999999986,0.01396551724137929
ENG-Premier League,Bournemouth,Matías Viña,12,0,0.2,458,DF,-0.2,-0.039301310043668124
ENG-Premier League,Bournemouth,Max Aarons,23,1,0.8,1323,DF,0.19999999999999996,0.013605442176870746
ENG-Premier League,Bournemouth,Milos Kerkez,66,6,4.7,5306,DF,1.2999999999999998,0.022050508857896715
ENG-Premier League,Bournemouth,Nathan Aké,105,5,5.1,9267,DF,-0.09999999999999964,-0.0009711880867594656
ENG-Premier League,Bournemouth,Nathaniel Clyne,14,1,0.1,1143,DF,0.9,0.07086614173228346
ENG-Premier League,Bournemouth,Philip Billing,109,4,9.200000000000001,6876,MF,-5.200000000000001,-0.0680628272251309
ENG-Premier League,Bournemouth,Ryan Christie,98,9,11.3,6858,"MF,FW",-2.3000000000000007,-0.030183727034120745
ENG-Premier League,Bournemouth,Ryan Fraser,92,21,20.6,7237,"MF,DF",0.3999999999999986,0.004974436921376243
ENG-Premier League,Bournemouth,Ryan Fredericks,12,0,0.1,533,DF,-0.1,-0.016885553470919325
ENG-Premier League,Bournemouth,Simon Francis,64,3,2.3,4903,DF,0.7000000000000002,0.01284927595349786
ENG-Premier League,Bournemouth,Steve Cook,94,2,2.4,7981,DF,-0.3999999999999999,-0.004510712943240194
ENG-Premier League,Bournemouth,Tyler Adams,31,3,1.1,2086,MF,1.9,0.08197507190795782
ENG-Premier League,Brentford,Aaron Hickey,35,1,0.5,2629,DF,0.5,0.017116774438950173
ENG-Premier League,Brentford,Ben Mee,60,1,1.6,4724,DF,-0.6000000000000001,-0.011430990685859444
ENG-Premier League,Brentford,Bryan Mbeumo,136,28,24.1,11185,FW,3.8999999999999986,0.03138131426016986
ENG-Premier League,Brentford,Christian Eriksen,11,4,3.5,939,MF,0.5,0.047923322683706075
ENG-Premier League,Brentford,Christian Nørgaard,122,12,9.6,10141,MF,2.4000000000000004,0.021299674588304902
ENG-Premier League,Brentford,David Raya,62,0,0.1,5580,GK,-0.1,-0.0016129032258064516
ENG-Premier League,Brentford,Ethan Pinnock,113,1,4.4,9828,DF,-3.4000000000000004,-0.03113553113553114
ENG-Premier League,Brentford,Fabio Carvalho,19,1,0.7,455,"FW,MF",0.30000000000000004,0.05934065934065935
ENG-Premier League,Brentford,Frank Onyeka,69,4,2.5999999999999996,3079,MF,1.4000000000000004,0.04092237739525821
ENG-Premier League,Brentford,Ivan Toney,83,11,12.399999999999999,7310,FW,-1.3999999999999986,-0.01723666210670313
ENG-Premier League,Brentford,Josh Dasilva,48,2,1.7,1670,"MF,FW",0.30000000000000004,0.016167664670658687
ENG-Premier League,Brentford,Keane Lewis-Potter,78,5,6.1,4855,"FW,MF",-1.0999999999999996,-0.02039134912461379
ENG-Premier League,Brentford,Kevin Schade,67,4,5.5,3358,FW,-1.5,-0.04020250148898154
ENG-Premier League,Brentford,Kristoffer Ajer,85,4,5.2,6028,DF,-1.2000000000000002,-0.017916390179163903
ENG-Premier League,Brentford,Mads Bech Sørensen,15,0,0.4,856,DF,-0.4,-0.042056074766355145
ENG-Premier League,Brentford,Mads Roerslev,94,5,6.6,5434,DF,-1.5999999999999996,-0.026499815973500176
ENG-Premier League,Brentford,Mark Flekken,74,3,1.0,6560,GK,2.0,0.027439024390243903
ENG-Premier League,Brentford,Mathias Jensen,124,12,13.9,7470,MF,-1.9000000000000004,-0.022891566265060243
ENG-Premier League,Brentford,Mathias Jørgensen,40,0,1.4,2708,DF,-1.4,-0.0465288035450517
ENG-Premier League,Brentford,Michael Kayode,12,1,1.2,528,DF,-0.19999999999999996,-0.03409090909090908
ENG-Premier League,Brentford,Mikkel Damsgaard,87,12,11.2,4741,"MF,FW",0.8000000000000007,0.01518666947901288
ENG-Premier League,Brentford,Nathan Collins,70,4,4.0,6072,DF,0.0,0.0
ENG-Premier League,Brentford,Neal Maupay,29,3,2.3,1321,FW,0.7000000000000002,0.04769114307342923
ENG-Premier League,Brentford,Pontus Jansson,49,1,0.3,4045,DF,0.7,0.015574783683559948
ENG-Premier League,Brentford,Rico Henry,81,3,5.300000000000001,6514,DF,-2.3000000000000007,-0.03177770954866443
ENG-Premier League,Brentford,Saman Ghoddos,51,1,2.7,1414,"MF,DF",-1.7000000000000002,-0.10820367751060822
ENG-Premier League,Brentford,Sepp van den Berg,31,0,0.8,2586,DF,-0.8,-0.027842227378190258
ENG-Premier League,Brentford,Sergi Canós,36,2,1.7,2160,"DF,FW",0.30000000000000004,0.012500000000000002
ENG-Premier League,Brentford,Sergio Reguilón,16,4,2.8,1118,DF,1.2000000000000002,0.0966010733452594
ENG-Premier League,Brentford,Shandon Baptiste,55,2,1.8,1757,MF,0.19999999999999996,0.010244735344336935
ENG-Premier League,Brentford,Vitaly Janelt,136,7,10.3,9814,MF,-3.3000000000000007,-0.030262889749337687
ENG-Premier League,Brentford,Yehor Yarmoliuk,58,0,1.0,2138,MF,-1.0,-0.042095416276894296
ENG-Premier League,Brentford,Yoane Wissa,137,11,9.9,8302,FW,1.0999999999999996,0.01192483738858106
ENG-Premier League,Brighton,Aaron Connolly,45,2,0.8,2205,FW,1.2,0.04897959183673469
ENG-Premier League,Brighton,Aaron Mooy,31,2,4.5,2085,"MF,FW",-2.5,-0.1079136690647482
ENG-Premier League,Brighton,Adam Lallana,95,4,6.2,4729,"MF,FW",-2.2,-0.04186931698033411
ENG-Premier League,Brighton,Adam Webster,138,1,2.3,10712,DF,-1.2999999999999998,-0.010922330097087377
ENG-Premier League,Brighton,Alexis Mac Allister,98,5,8.0,6476,"MF,FW",-3.0,-0.04169240271772699
ENG-Premier League,Brighton,Alireza Jahanbakhsh,50,1,3.8,1859,"FW,MF",-2.8,-0.13555675094136632
ENG-Premier League,Brighton,Ansu Fati,19,0,0.8,521,"MF,FW",-0.8,-0.1381957773512476
ENG-Premier League,Brighton,Anthony Knockaert,63,7,6.800000000000001,4258,"MF,FW",0.1999999999999993,0.004227336777829952
ENG-Premier League,Brighton,Ben White,36,0,0.9,3191,"DF,MF",-0.9,-0.025383892196803513
ENG-Premier League,Brighton,Beram Kayal,37,1,1.6,1685,MF,-0.6000000000000001,-0.03204747774480713
ENG-Premier League,Brighton,Bernardo,39,1,1.8000000000000003,2637,DF,-0.8000000000000003,-0.02730375426621161
ENG-Premier League,Brighton,Billy Gilmour,46,2,2.2,2725,MF,-0.20000000000000018,-0.006605504587155969
ENG-Premier League,Brighton,Brajan Gruda,21,4,2.1,687,"MF,FW",1.9,0.24890829694323144
ENG-Premier League,Brighton,Bruno,39,1,1.2,3147,DF,-0.19999999999999996,-0.005719733079122973
ENG-Premier League,Brighton,Carlos Baleba,61,1,1.6,3986,MF,-0.6000000000000001,-0.013547415955845462
ENG-Premier League,Brighton,Dale Stephens,99,5,4.3,8255,MF,0.7000000000000002,0.0076317383403997595
ENG-Premier League,Brighton,Dan Burn,74,0,2.6,5963,DF,-2.6,-0.0392419922857622
ENG-Premier League,Brighton,Danny Welbeck,139,11,11.4,8685,FW,-0.40000000000000036,-0.004145077720207257
ENG-Premier League,Brighton,Davy Pröpper,107,7,5.2,8707,MF,1.7999999999999998,0.01860571953600551
ENG-Premier League,Brighton,Deniz Undav,22,0,1.1,628,"FW,MF",-1.1,-0.15764331210191082
ENG-Premier League,Brighton,Diego Gómez,16,0,0.7,516,MF,-0.7,-0.12209302325581395
ENG-Premier League,Brighton,Enock Mwepu,24,5,2.1,1209,MF,2.9,0.21588089330024815
ENG-Premier League,Brighton,Evan Ferguson,60,2,1.6,2586,MF,0.3999999999999999,0.013921113689095124
ENG-Premier League,Brighton,Ezequiel Schelotto,28,0,0.6,1679,DF,-0.6,-0.03216200119118523
ENG-Premier League,Brighton,Facundo Buonanotte,40,2,2.3,1929,"FW,MF",-0.2999999999999998,-0.013996889580093303
ENG-Premier League,Brighton,Florin Andone,26,0,0.2,954,FW,-0.2,-0.01886792452830189
ENG-Premier League,Brighton,Gaëtan Bong,51,0,1.2,4103,DF,-1.2,-0.026322203265902996
ENG-Premier League,Brighton,Georginio Rutter,28,3,2.5,1656,"MF,FW",0.5,0.02717391304347826
ENG-Premier League,Brighton,Glenn Murray,96,2,3.6,5497,FW,-1.6,-0.026196106967436784
ENG-Premier League,Brighton,Igor,37,0,0.8999999999999999,2598,DF,-0.8999999999999999,-0.031177829099307153
ENG-Premier League,Brighton,Jack Hinshelwood,39,2,2.2,2713,FW,-0.20000000000000018,-0.0066347217102838245
ENG-Premier League,Brighton,Jakub Moder,61,3,3.4000000000000004,2977,"DF,MF",-0.40000000000000036,-0.012092710782667127
ENG-Premier League,Brighton,James Milner,19,2,2.0,943,"DF,MF",0.0,0.0
ENG-Premier League,Brighton,Jan Paul van Hecke,70,1,2.4,5622,DF,-1.4,-0.022411953041622194
ENG-Premier League,Brighton,Jason Steele,35,1,0.1,3150,GK,0.9,0.025714285714285717
ENG-Premier League,Brighton,José Izquierdo,48,4,2.6,2788,"MF,FW",1.4,0.04519368723098995
ENG-Premier League,Brighton,João Pedro,58,9,8.8,3993,"FW,MF",0.1999999999999993,0.00450788880540945
ENG-Premier League,Brighton,Joël Veltman,141,4,5.0,10628,DF,-1.0,-0.008468197214904027
ENG-Premier League,Brighton,Julio Enciso,44,4,3.6,1575,"FW,MF",0.3999999999999999,0.02285714285714285
ENG-Premier League,Brighton,Jürgen Locadia,35,1,1.1,1569,"FW,MF",-0.10000000000000009,-0.005736137667304021
ENG-Premier League,Brighton,Kaoru Mitoma,88,13,13.7,6407,"FW,MF",-0.6999999999999993,-0.009832995161542053
ENG-Premier League,Brighton,Leandro Trossard,116,13,15.700000000000001,8738,"FW,MF",-2.700000000000001,-0.02780956740672924
ENG-Premier League,Brighton,Levi Colwill,17,2,0.5,1220,DF,1.5,0.11065573770491804
ENG-Premier League,Brighton,Lewis Dunk,266,6,7.5,23496,DF,-1.5,-0.0057456588355464765
ENG-Premier League,Brighton,Mahmoud Dahoud,9,1,0.9,452,MF,0.09999999999999998,0.019911504424778757
ENG-Premier League,Brighton,Marc Cucurella,35,1,2.7,3089,DF,-1.7000000000000002,-0.049530592424732935
ENG-Premier League,Brighton,Markus Suttner,14,0,0.3,1179,DF,-0.3,-0.022900763358778626
ENG-Premier League,Brighton,Martín Montoya,52,2,3.0,4063,DF,-1.0,-0.022151119862170807
ENG-Premier League,Brighton,Mats Wieffer,25,3,1.6,1015,"DF,MF",1.4,0.12413793103448274
ENG-Premier League,Brighton,Matt O'Riley,21,2,2.4,938,MF,-0.3999999999999999,-0.038379530916844345
ENG-Premier League,Brighton,Moisés Caicedo,45,2,3.0,3799,MF,-1.0,-0.02369044485390892
ENG-Premier League,Brighton,Neal Maupay,102,7,8.4,7554,FW,-1.4000000000000004,-0.01667990468625894
ENG-Premier League,Brighton,Pascal Groß,228,45,48.8,17463,"FW,MF",-3.799999999999997,-0.019584263872186893
